"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2021","0.00002411","0.00002406","0.00002445","0.00002394","113.89M","0.04%"
"Mar 03, 2021","0.00002410","0.00002528","0.00002528","0.00002410","120.76M","-4.71%"
"Mar 02, 2021","0.00002529","0.00002615","0.00002615","0.00002449","193.36M","-3.10%"
"Mar 01, 2021","0.00002610","0.00002913","0.00002913","0.00002589","279.80M","-10.25%"
"Feb 28, 2021","0.00002908","0.00002853","0.00002912","0.00002651","373.29M","1.93%"
"Feb 27, 2021","0.00002853","0.00002696","0.00003079","0.00002661","603.43M","6.26%"
"Feb 26, 2021","0.00002685","0.00002288","0.00002701","0.00002235","472.09M","17.35%"
"Feb 25, 2021","0.00002288","0.00002109","0.00002307","0.00002058","256.18M","8.38%"
"Feb 24, 2021","0.00002111","0.00001966","0.00002116","0.00001964","239.42M","6.99%"
"Feb 23, 2021","0.00001973","0.00002031","0.00002110","0.00001904","411.91M","-2.57%"
"Feb 22, 2021","0.00002025","0.00001915","0.00002066","0.00001848","337.29M","5.69%"
"Feb 21, 2021","0.00001916","0.00001990","0.00001994","0.00001893","225.57M","-3.91%"
"Feb 20, 2021","0.00001994","0.00001659","0.00002041","0.00001657","526.84M","20.27%"
"Feb 19, 2021","0.00001658","0.00001778","0.00001778","0.00001658","173.86M","-6.49%"
"Feb 18, 2021","0.00001773","0.00001710","0.00001814","0.00001710","209.22M","3.56%"
"Feb 17, 2021","0.00001712","0.00001771","0.00001771","0.00001656","164.47M","-3.33%"
"Feb 16, 2021","0.00001771","0.00001797","0.00001832","0.00001771","195.66M","-1.39%"
"Feb 15, 2021","0.00001796","0.00001735","0.00001838","0.00001567","301.48M","3.52%"
"Feb 14, 2021","0.00001735","0.00001939","0.00001939","0.00001705","238.97M","-10.29%"
"Feb 13, 2021","0.00001934","0.00001958","0.00001980","0.00001864","197.50M","-0.97%"
"Feb 12, 2021","0.00001953","0.00001939","0.00001953","0.00001880","233.75M","0.83%"
"Feb 11, 2021","0.00001937","0.00002102","0.00002102","0.00001937","379.51M","-7.63%"
"Feb 10, 2021","0.00002097","0.00001520","0.00002097","0.00001520","620.05M","38.23%"
"Feb 09, 2021","0.00001517","0.00001447","0.00001517","0.00001447","287.20M","3.90%"
"Feb 08, 2021","0.00001460","0.00001699","0.00001700","0.00001460","415.64M","-14.37%"
"Feb 07, 2021","0.00001705","0.00001618","0.00001759","0.00001616","628.96M","6.10%"
"Feb 06, 2021","0.00001607","0.00001400","0.00001629","0.00001341","480.12M","13.89%"
"Feb 05, 2021","0.00001411","0.00001192","0.00001458","0.00001189","455.52M","18.57%"
"Feb 04, 2021","0.00001190","0.00001174","0.00001190","0.00001142","173.65M","1.36%"
"Feb 03, 2021","0.00001174","0.00001205","0.00001205","0.00001153","169.77M","-1.92%"
"Feb 02, 2021","0.00001197","0.00001219","0.00001283","0.00001185","476.92M","-1.72%"
"Feb 01, 2021","0.00001218","0.00001042","0.00001218","0.00001028","305.75M","16.78%"
"Jan 31, 2021","0.00001043","0.00001062","0.00001082","0.00001043","115.37M","-1.70%"
"Jan 30, 2021","0.00001061","0.00001016","0.00001084","0.00000998","173.31M","4.64%"
"Jan 29, 2021","0.00001014","0.00001032","0.00001081","0.00000963","251.37M","-1.55%"
